20017,Herschel  1898,KAPPA AND,KAPPA,,23 40.4, 44 20,AND,AB,4.3,11.3,46.8,194,9,59,A0,1923,16916,Optical.
20018,,LAMBDA AND,LAMBDA,,23 37.6, 46 28,AND,AC,4,10.5,217.6,89,9,59/ 88,K0,1908,,A is a sp-bin light var. Ab is optical.
20019,Struve 2973,LN AND,LN,,23 02.8, 44 03,AND,,6.4,9.6,7.4,41,9,88,B3,1831,16472,A var.
20020,Herschel  1057,MU AND,MU,,00 56.7, 38 29,AND,AB,3.9,12.9,42.2,307,4,60/ 90/ 91,A2,1924,788,
20021,Burnham 999,OMEGA AND,OMEGA,,01 27.6, 45 24,AND,AB,5,11.7,1.8,118,4,61,F5,1967,1152,
20022,Herschel 17,PI AND,PI,,00 36.8, 33 43,AND,AB,4.4,8.9,35.9,173,4,90,B3,1821,513,h V 17. BDS 263- h  1030 identical. A is a sp-bin. W/B
20023,,TAU AND,TAU,,01 40.6, 40 34,AND,,4.9,10.1,48.9,329,4,61,B8,1880,1311,A is a sp-bin. Var?
20024,,THETA AND,THETA,,01 10.7, 42 57,AND,AB,7.8,9.9,155.4,298,4,60/ 61,K0,1893,,A is a sp-bin.
20025,,UPSILON AND,UPSILON,,01 36.9, 41 24,AND,AB,4.2,12.6,114,128,4,61,G0,1909,,A is a sp-bin.
20026,,ZETA AND,ZETA,,00 47.3, 24 15,AND,AD,4.3,10.8,162.7,259,4,126/ 127,K0,1959,,A is an ecl-bin. Ab is optical.
20027,Herschel 50,DELTA ANT,DELTA,,10 29.6,-30 36,ANT,,5.7,9.7,11,226,20,366,A0,1848,,h N 50.
20028,Herschel  4271,ETA ANT,ETA,,09 58.9,-35 53,ANT,,5.3,11.3,31,318,20,365,F0,1898,,
20029,Dunlop 78,ZETA ANT,ZETA,,09 30.8,-31 53,ANT,,6.3,7.2,8,213,20,364,A0,1836,,
20030,Herschel  4858,BETA APS,BETA,,16 43.2,-77 30,APS,,4.2,12,51.1,72,26,468,G8,1900,,
20031,,DELTA APS,DELTA,,16 20.4,-78 42,APS,AB,4.8,5.2,102.9,12,26,468,M5,1872,,An irr var.
20032,Harvard 249,KAPPA APS,KAPPA,,15 40.4,-73 26,APS,AB,5.8,12.5,15,120,25,453/ 468,B8,1800,,
20033,Struve 2379,5 AQL,5,,18 46.5,-00 57,AQL,APxB,6.1,7.9,12.8,120,15/ 16,250,A0,1965,11667,W/B
20034,Struve 2424,11 AQL,11,,18 59.1, 13 37,AQL,AB,5.4,8.9,17.8,288,15/ 16,205/ 206,F5,1964,11902,
20035,South-Herschel 286,15 AQL,15,,19 05.0,-04 02,AQL,,5.5,7.2,38.8,209,16,251,K0,1975,12007,YW/RP
20036,Struve 2492,23 AQL,23,,19 18.5, 01 04,AQL,AB,5.3,9.3,2.9,4,16,251,K0,1979,12289,
20037,Struve 40,24 AQL,24,,19 18.8, 00 20,AQL,AB,6.5,6.7,423.4,316,16,251,K0,1835,,STF 40- App I.
20038,,26 AQL,26,,19 20.5,-05 24,AQL,,5.1,11.9,115.9,9,16,251,G5,1959,,A is a sp-bin.
20039,South 717,28 AQL,28,,19 19.7, 12 22,AQL,AB,5.4,8.9,60.2,175,16,206,F0,1856,,A is the Delta Scuti-type var V1208 Aql.
20040,,31 AQL,31,,19 24.9, 11 54,AQL,AB,5.2,8.7,105.6,343,16,206/ 207,G5,1909,,
20041,Herschel  2888,45 AQL,45,,19 40.7,-00 37,AQL,,5.5,12.7,42.2,354,16,252,A0,1900,12775,
20042,Herschel  900,56 AQL,56,,19 54.1,-08 34,AQL,,6,12.1,46.5,77,16,297,K5,1880,,
20043,Struve 2594,57 AQL,57,,19 54.6,-08 13,AQL,,5.8,6.5,36,170,16,297,B3,1833,,Y/G
20044,Burnham 672,71 AQL,71,,20 38.4,-01 06,AQL,,4.5,11,32.2,281,16,254,K0,1878,14081,A is a long-period sp-bin.
20045,Struve 10,ALPHA AQL,ALPHA,,19 50.7, 08 51,AQL,AB,0.9,9.6,165.2,301,16,207,A5,1925,13009,
20046,StruveO 532,BETA AQL,BETA,,19 55.3, 06 24,AQL,AB,3.9,11.8,12.9,6,16,207,K0,1976,13110,A is var.
20047,StruveO 380,CHI AQL,CHI,,19 42.6, 11 49,AQL,AC,5.3,12.3,81.6,48,16,207,F5,1912,12808,A sp-bin.
20048,,EPSILON AQL,EPSILON,,18 59.6, 15 04,AQL,AB,4.2,10.1,131.1,187,15/ 16,205/ 206,K0,1887,,A is a sp-bin.
20049,Hough 91,FF AQL,FF,,18 58.2, 17 22,AQL,,5.4,11.1,6.7,141,15/ 16,160/161/205/206,F5,1961,11884,A is Cepheid var.
20050,Herschel 5084,GAMMA AQL,GAMMA,,19 06.4,-37 00,AQL,AB,5,5,3,54,22,379,F8,1834,,
20051,Jonckheere 118,IOTA AQL,IOTA,,19 36.7,-01 16,AQL,,4.3,13,47,161,16,252,B5,1910,12663,
20052,,NU AQL,NU,,19 26.5, 00 20,AQL,,4.9,9.1,201,288,16,251/ 252,F0,1901,,
20053,Struve 2583,PI AQL,PI,,19 48.7, 11 49,AQL,AB,6.1,6.9,1.4,108,16,207,F2,1981,12962,YW/YW
20054,,PIAC AQL,PIAC,,19 48.7, 11 49,AQL,AC,5.7,12.2,33.6,305,16,207,F2,1886,12962,
20055,Herschel  2886,SIGMA AQL,SIGMA,,19 39.1, 05 23,AQL,,5.2,12.1,47.8,328,16,207/ 252,B3,1903,12737,A is Beta Lyrae var- spectrum composite; B3V+B3V.
