20042,Aitken 1527,,1,02 01.4, 43 40,AND,,8.7,12,5,238,4,61/ 62,A2,1907,1603,
20043,Aitken 1528,,1,02 35.6, 44 11,AND,,9,9,1.5,16,4,62,B9,1907,1962,
20044,Aitken 196,,1,23 05.5, 46 43,AND,,8.5,9,0.4,317,9,88,A0,1976,16505,
20045,Aitken 197,,1,23 12.2, 44 49,AND,,8.6,9.6,0.5,161,9,88,A2,1900,16586,
20046,Aitken 199,,1,23 13.3, 46 03,AND,,8.7,11.7,2.2,278,9,88,,1900,16606,
20047,Aitken 200,,1,23 14.6, 41 15,AND,,8.7,9.2,0.4,85,9,88,A2,1978,16621,
20048,Aitken 202,,1,23 18.4, 47 15,AND,,7.8,10.1,2.8,257,9,88,B9,1900,16661,
20049,Aitken 646,,1,00 14.6, 44 52,AND,,8.7,11.4,2.4,45,4,59,A0,1904,182,
20050,Aitken 655,,1,01 11.2, 41 14,AND,,8.5,8.9,0.4,310,4,60/ 61,G5,1981,974,P = 100 yr.; a = 0.34''; motion direct.  CLOSING.
20051,Aitken 660,,1,02 31.4, 42 33,AND,,8.4,8.5,0.4,311,4,62,A0,1971,1913,
20052,Aitken 800,,1,00 02.8, 47 15,AND,,8.8,8.8,1.6,292,4,59,A0,1904,10,
20053,Aitken 817,,1,01 37.1, 48 42,AND,,8.5,9,0.5,32,4,61,A0,1975,1263,
20054,Aitken 910,,1,00 30.2, 45 57,AND,,8.7,10.2,2.5,34,4,60,F5,1905,408,
20055,Aitken 912,,1,00 33.6, 45 09,AND,AB,8.6,10.3,23.2,228,4,60,G5,1904,462,
20056,Aitken 931,,1,01 07.0, 47 44,AND,,8.8,8.8,0.1,275,4,60,A2,1905,916,
20057,Aitken 938,,1,01 21.9, 47 16,AND,,7.7,11.8,3.6,293,4,61,A2,1905,1099,
20058,Aitken 944,,1,01 38.0, 45 59,AND,AB,9,9.3,0.2,319,4,61,A0,1981,1273,
20059,Aitken 945,,1,01 38.4, 44 53,AND,,8.9,12.3,3.5,87,4,61,G,1905,1278,
20060,Aitken 952,,1,01 51.5, 47 04,AND,,7.5,13,2,76,4,61,G5,1965,1469,
20061,Aitken 967,,1,02 30.5, 45 25,AND,,7.3,12.8,3.8,220,4,62,G5,1905,1899,
20062,Ali 481,,1,00 31.4, 37 51,AND,,8.8,12.2,7.9,84,4,90,G5,1929,,
20063,Argelander 45,,1,23 04.2, 46 36,AND,,8.6,9.6,3.6,16,9,88,,1879,16493,
20064,Argelander 49,,1,01 14.8, 42 54,AND,AB,8.8,9.9,34.4,102,4,60/ 61,A3,1908,,
20065,Barton 79,,1,01 19.1, 45 08,AND,,8.8,9.7,4.5,290,4,61,,1893,,
20066,Burnham 1166,,1,01 38.7, 38 39,AND,AB,7.8,10.9,2.7,347,4,61/ 91/ 92,G5,1890,1284,
20067,Burnham 1166-AC,,1,01 38.7, 38 39,AND,AC,7.7,12.8,24.8,9,4,61/ 91/ 92,G5,1898,1284,
20068,Burnham 1310,,1,00 32.6, 23 11,AND,AB,7,11.8,3.7,212,4,126,G0,1903,451,
20069,Burnham 1310-AC,,1,00 32.6, 23 11,AND,AC,7,12.5,17.7,294,4,126,G0,1926,451,
20070,Burnham 1310-AD,,1,00 32.6, 23 11,AND,AD,7.1,9.2,95.2,147,4,126,G0,1926,451,
20071,Burnham 236,,1,01 12.1, 46 59,AND,,9,9.5,5.2,114,4,60/ 61,A0,1875,980,
20072,Burnham 255,,1,00 11.9, 28 25,AND,,8.5,8.8,0.5,75,4,89/ 125,F5,1980,147,Slowly widening.  1875= 99 deg; 0.4 sec.
20073,Burnham 304,,1,02 31.4, 37 27,AND,,7.7,11.7,19.9,283,4,93,F0,1879,1914,
20074,Burnham 305,,1,02 38.3, 37 44,AND,AC,6.3,10.5,20.8,205,4,93,F5,1875,1996,
20075,Burnham 388,,1,23 34.7, 38 02,AND,,6.3,11.8,20.2,333,9,59/ 88/ 124,K5,1908,16843,
20076,Burnham 397,,1,01 07.9, 46 50,AND,AB,7.6,9.8,8.8,142,4,60,K2,1876,926,
20077,Burnham 397-AC,,1,01 07.9, 46 50,AND,AC,7.5,12.9,16.7,65,4,60,K2,1891,926,
20078,Burnham 398,,1,01 11.8, 47 47,AND,,8.7,8.8,1.8,46,4,60/ 61,A2,1877,978,
20079,Burnham 483,,1,00 09.1, 40 51,AND,AB,7.2,11.5,2.8,41,4,59,G5,1878,105,
20080,Burnham 483-AC,,1,00 09.1, 40 51,AND,AC,7.2,7.9,144,261,4,59,G5,1879,105,
20081,Burnham 483-CD,,1,00 09.1, 40 51,AND,CD,8,10.9,74.1,280,4,59,G5,1909,105,
20082,Burnham 489,,1,00 26.0, 44 10,AND,AB,8.6,12.6,4,160,4,59/ 60,K2,1943,348,
20083,Burnham 722,,1,23 38.4, 42 30,AND,AB,6.8,12.5,7.4,348,9,59/ 88,B9,1878,16890,
20084,Burnham 722-AC,,1,23 38.4, 42 30,AND,AC,6.8,11.3,38.4,219,9,59/ 88,B9,1916,16890,
20085,Burnham 722-AD,,1,23 38.4, 42 30,AND,AD,6.8,10.9,45.1,247,9,59/ 88,B9,1916,16890,
20086,Burnham 728,,1,23 52.1, 43 30,AND,,8.7,8.7,1.2,7,9,59,F8,1878,17063,
20087,Burnham 779,,1,00 27.8, 23 34,AND,,8.6,9.1,0.7,249,4,126,A2,1978,367,
20088,Burnham 860,,1,00 00.0, 38 52,AND,,6.6,11.4,6.7,107,9-Apr,59/ 89,B9,1881,17157,
20089,Burnham 865,,1,00 45.5, 43 23,AND,AB,8.5,9,1.3,193,4,60,A5,1979,627,
20090,Burnham 997,,1,00 05.1, 45 13,AND,AC,6.6,9.5,21.6,235,4,59,A0,1906,46,
20091,Clark 1,,1,00 20.9, 32 59,AND,,7.5,8,1.8,289,4,89/ 90,F5,1980,285,
20092,Clark 13,,1,01 08.9, 45 12,AND,AB,8.4,8.5,0.5,265,4,60/ 61,A0,1876,936,
20093,Clark 14,,1,01 28.4, 42 47,AND,,8.1,9.1,0.8,95,4,61,G5,1859,1161,
20094,Couteau 1049,,1,00 29.7, 36 50,AND,,8.8,9.8,0.6,27,4,90,F8,1973,,
20095,Couteau 1051,,1,00 40.5, 36 37,AND,,8.3,9.3,0.4,76,4,90,A0,1973,,
20096,Couteau 1063,,1,01 43.7, 37 05,AND,,8.9,8.9,0.6,28,4,91/ 92,G0,1973,,
20097,Couteau 1500,,1,23 59.1, 41 12,AND,,7.8,10.2,3.9,187,9,59,G0,1976,,
20098,Couteau 1659,,1,01 29.9, 45 47,AND,,9,9.3,0.3,18,4,61,A2,1979,,
20099,Couteau 1669,,1,02 16.0, 40 45,AND,,8.8,9,0.3,170,4,62,G5,1978,,
20100,Couteau 2011,,1,02 27.9, 45 22,AND,,8.9,9.5,0.3,70,4,62,A2,1982,,
20101,Couteau 2146,,1,22 59.5, 43 55,AND,,7.7,12.5,3.2,328,9,88,K2,1982,,
20102,Couteau 347,,1,00 21.3, 27 44,AND,AP,8.7,9.7,0.4,62,4,89/ 90/ 126,F8,1969,295,
20103,Dawes 8,,1,01 20.1, 43 57,AND,,8.3,9.6,2.6,142,4,61,G5,1859,1079,
20104,Dembowski 1,,1,00 12.5, 46 25,AND,,9,9.3,13,74,4,59,,1875,,
20105,Espin 1475,,1,23 46.9, 43 40,AND,,9,9.6,5.4,302,9,59,A0,1894,16997,
20106,Espin 1485,,1,00 21.0, 43 42,AND,,8.4,12.5,8.9,96,4,59/ 60,K0,1923,288,
20107,Espin 1496,,1,01 38.0, 43 40,AND,,8.6,12.1,7.1,191,4,61,B9,1916,1272,
20108,Espin 151,,1,00 08.9, 40 38,AND,,8.8,13,6.4,197,4,59,,1904,103,
20109,Espin 152,,1,00 13.3, 40 13,AND,,8.9,12.4,7.3,108,4,59,A5,1935,160,
20110,Espin 158,,1,01 49.3, 40 57,AND,,8.8,10.1,7.3,47,4,61,F8,1905,1441,
20111,Espin 1594,,1,22 58.1, 41 55,AND,,9,10,9.2,96,9,88,A2,1916,16410,
20112,Espin 1596,,1,23 06.6, 42 38,AND,AB,7.8,11.9,35.8,22,9,88,K5,1916,16513,
20113,Espin 1597,,1,23 31.4, 42 04,AND,,8.8,12.9,7.7,90,9,88,A0,1916,16811,
20114,Espin 162,,1,01 57.7, 36 46,AND,,8.2,12,11.5,208,4,92,F0,1904,1557,
20115,Espin 1939,,1,00 28.6, 39 05,AND,,8.7,12.4,6.5,277,4,60/ 90,G5,1922,381,
20116,Espin 221,,1,00 00.8, 36 46,AND,,8.7,9.4,15,233,4,89,G5,1904,17164,
20117,Espin 222,,1,00 25.8, 38 52,AND,,8.9,9.8,5.9,153,4,59/ 60/ 90,F0,1905,345,
20118,Espin 224,,1,00 47.3, 38 36,AND,AC,8.3,9.2,40,109,4,60/ 90,,1924,655,
20119,Espin 2443,,1,23 59.7, 37 47,AND,AB,7.8,11.3,75,232,9,89,B9,1930,,
20120,Espin 4,,1,01 31.1, 43 37,AND,,8.2,10.2,3.1,102,4,61,F2,1892,1192,
20121,Espin 449,,1,01 19.8, 50 29,AND,,9,9.6,11.5,213,1,36/ 61,F5,1907,1071,
20122,Espin 450,,1,01 27.7, 48 08,AND,AC,8,13,20.1,269,4,61,,1907,1153,
20123,Espin 457,,1,02 28.9, 49 40,AND,,8.2,12,6.8,7,4,37/ 38/ 62,K0,1907,1873,
20124,Espin 47,,1,02 12.3, 48 15,AND,AB,8.3,10.9,5.7,292,4,62,A2,1901,1695,
20125,Espin 47-AC,,1,02 12.3, 48 15,AND,AC,8.4,10.5,20.3,258,4,62,A2,1901,1695,
20126,Espin 48,,1,02 09.6, 42 51,AND,,7.2,11,10.8,248,4,62,F5,1964,1675,
20127,Espin 49,,1,02 24.9, 47 04,AND,AB,8.9,10.9,37.5,150,4,62,F2,1901,1830,
20128,Espin 545,,1,23 23.6, 49 15,AND,,8.8,12.7,9.7,320,9,58/ 88,A0,1907,16723,
20129,Espin 549,,1,23 44.9, 48 30,AND,AC,9,9.5,16.1,239,9,59,G5,1907,16966,
20130,Espin 619,,1,02 21.5, 46 24,AND,,7.9,10.6,5.9,246,4,62,K5,1970,1793,
20131,Espin 698,,1,23 21.5, 47 55,AND,,8.9,12.1,3.2,58,9,88,,1908,16697,
20132,Espin 859,,1,23 37.4, 48 33,AND,AB,8.6,10.4,87.8,217,9,59/ 88,K0,1909,16875,
20133,Groombridge 34,,1,00 18.0, 44 00,AND,AB,8.2,10.6,36.3,62,4,59,M2,1976,246,AB:Orbit calc'd.A is var CQ And & sp-bin.Red dwarf
20134,Groombridge 34-AC,,1,00 18.0, 44 00,AND,AC,8.1,11.5,36.5,232,4,59,M2,1925,246,
20135,Herschel 1001,,1,00 09.2, 44 43,AND,,8.6,9.2,15.8,77,4,59,G5,1901,108,
20136,Herschel 1009,,1,00 16.0, 48 35,AND,AC,8.5,11.2,36.5,141,4,59,F8,1907,204,
20137,Herschel 1020,,1,00 21.5, 26 57,AND,,8.2,10.9,11.2,180,4,126,K2,1882,298,
20138,Herschel 1032,,1,00 33.7, 29 32,AND,,9,11,12.3,246,4,90,,1906,,
20139,Herschel 1077,,1,01 17.7, 44 37,AND,,7.4,9.4,38.5,295,4,61,K5,1907,,
20140,Herschel 1120,,1,02 35.5, 39 40,AND,AB,6.3,10.8,16.3,83,4,62/ 93,B9,1959,1961,
20141,Herschel 1120-AC,,1,02 35.5, 39 40,AND,AC,6.3,10.6,41.5,321,4,62/ 93,B9,1906,1961,
20142,Herschel 1839,,1,23 00.3, 41 07,AND,,8.8,10.5,14.8,293,9,88,K2,1963,,
20143,Herschel 1840,,1,23 00.4, 48 22,AND,,8.5,10.9,19.2,287,9,88,,1905,,
20144,Herschel 1853,,1,23 10.9, 45 31,AND,,7.2,10.4,31.4,281,9,88,K0,1905,,See star at 23 07.5 N44 44. Looks more like HJ 1853.
20145,Herschel 1889,,1,23 32.0, 38 19,AND,AB,7.6,11.9,43.9,241,9,59/ 88/ 124,K2,1900,,
20146,Herschel 1889-AC,,1,23 32.0, 38 19,AND,AC,7.6,11.6,55.8,57,9,59/ 88/ 124,K2,1900,,
20147,Herschel 1947,,1,00 16.3, 43 36,AND,,6.1,8.8,9.2,76,4,59,A0,1879,215,
20148,Herschel 1963,,1,00 25.3, 44 20,AND,,8.7,12,18,58,4,59/ 60,A2,1830,,
20149,Herschel 1987,,1,00 35.3, 43 03,AND,,8.5,11,21.6,348,4,60,G5,1908,,
20150,Herschel 2010,,1,01 02.7, 47 42,AND,,8,9.5,10,270,4,60,A0,1879,856,
20151,Herschel 2013,,1,01 06.0, 44 47,AND,,8.5,11.5,23.2,247,4,60,G0,1907,,
20152,Herschel 2027,,1,01 13.4, 44 26,AND,AB,9,9.8,18.2,161,4,60/ 61,F8,1830,992,
20153,Herschel 2031,,1,01 16.5, 44 26,AND,AB,8.8,9.3,45.5,342,4,61,B9,1907,,
20154,Herschel 2063,,1,01 38.9, 45 59,AND,,9,12,14.8,228,4,61,,1923,,
20155,Herschel 2089,,1,01 51.4, 43 28,AND,,8.6,9,29.3,305,4,61,A5,1908,,
20156,Herschel 2137,,1,02 28.4, 43 13,AND,,8.9,10.2,26.7,133,4,62,F0,1908,,
20157,Herschel 5451,,1,00 31.4, 33 35,AND,,6.2,8.6,56.4,85,4,90,K0,1875,,A is a sp-bin.
20158,Herschel 626,,1,00 45.5, 31 38,AND,AB,8.9,11.4,32.3,346,4,90,K2,1901,,
20159,Herschel 628,,1,00 51.9, 33 53,AND,,7,10.8,42.5,69,4,90,K2,1901,,
20160,Herschel 629,,1,00 55.6, 34 32,AND,AB,8.8,11.8,9.9,70,4,90,,1930,770,
20161,Hough 10,,1,01 58.8, 37 41,AND,,8.1,12.1,2.6,197,4,92,A2,1884,1573,
20162,Hough 197,,1,23 11.4, 38 12,AND,AB,8.3,8.6,0.3,315,9,88/ 124,F5,1981,16576,
20163,Hough 197-ABxC,,1,23 11.4, 38 12,AND,ABxC,8.2,8.7,38,324,9,88/ 124,F5,1964,16576,
20164,Hough 197-ABxD,,1,23 11.4, 38 12,AND,ABxD,8.2,8.7,53.3,280,9,88/ 124,F5,1964,16576,
20165,Hough 201,,1,23 37.2, 34 39,AND,,8.9,10.2,3.6,342,9,89/ 124,G5,1883,16870,
20166,Hough 202,,1,23 38.4, 40 29,AND,,8.8,12.3,2.9,144,9,59/ 88,G5,1924,16887,
20167,Hough 205,,1,23 54.1, 39 17,AND,AB,6.7,12.7,4.6,180,9,59/ 89,F8,1885,17087,
20168,Hough 205-AC,,1,23 54.1, 39 17,AND,AC,6.7,11.3,92.5,250,9,59/ 89,F8,1913,17087,
20169,Hough 205-AD,,1,23 54.1, 39 17,AND,AD,6.8,9.1,102.3,211,9,59/ 89,F8,1913,17087,
20170,Hough 213,,1,01 03.9, 35 28,AND,,8,8,0.3,93,4,90/ 91,A3,1887,873,Orbit calc'd.
20171,Hough 214,,1,01 09.7, 38 07,AND,,7.6,11.6,2.9,246,4,60/ 61/ 91,F0,1887,948,
20172,Hough 305,,1,00 38.0, 25 10,AND,AB,8.7,11.7,5.6,193,4,126,F8,1889,531,
20173,Hough 492,,1,00 47.1, 41 57,AND,,8.9,10.9,2.7,118,4,60,F,1897,646,
20174,Hough 497,,1,02 12.8, 37 22,AND,,9,9.8,0.5,84,4,92,A2,1978,1701,
20175,Hough 621,,1,23 29.6, 38 38,AND,,8.1,12.3,25.6,1,9,88/ 124,M,1894,,
20176,Hough 622,,1,00 02.7, 35 49,AND,,7.3,12.3,23.6,87,4,89,A0,1896,8,
20177,Hough 623,,1,00 36.2, 24 01,AND,,7.3,12.3,9.7,153,4,126,G5,1899,499,
20178,Hussey 1001,,1,00 06.3, 34 36,AND,,8.7,11.7,2,179,4,89,F0,1904,65,
20179,Hussey 537,,1,02 26.1, 49 14,AND,,8.9,9.9,1.9,18,4,37/ 62,A5,1902,1841,
20180,Hussey 803,,1,01 15.1, 34 15,AND,,8.9,9.9,0.8,204,4,91,,1978,1005,
20181,Kuiper 2,,1,00 15.2, 27 17,AND,,6.1,12.9,29.2,130,4,89/ 125/ 126,A0,1958,,A is a sp-bin.
20182,Mason 1,,1,01 00.6, 47 19,AND,,8.1,8.6,1,14,4,60,A2,1845,829,
20183,Milburn 12,,1,02 09.1, 39 35,AND,,8.9,10,6.2,255,4,62/ 92,F0,1917,1672,
20184,Popovic 38,,1,00 32.0, 35 37,AND,,9,13,2.4,98,4,90,,1969,,
20185,Popovic 46,,1,01 08.3, 35 34,AND,AB,9,12.5,28.2,222,4,91,,1980,,
20186,Popovic 67,,1,23 21.7, 36 22,AND,,9,11.7,2.7,309,9,124,,1971,,
20187,Pourteau 28,,1,00 27.5, 24 23,AND,,9,10.4,15.2,216,4,126,,1891,,
20188,Pourteau 37,,1,00 33.0, 23 33,AND,,9,10.4,15.1,172,4,126,,1891,,
20189,South 384,,1,00 20.1, 38 14,AND,AB,7.2,9.7,76.4,20,4,59/ 60/ 89/ 90,G0,1926,271,
20190,South 404,,1,01 58.1, 41 23,AND,AB,7.6,9.6,27.7,82,4,61/ 62,G5,1980,1560,
20191,South 825,,1,23 10.0, 36 50,AND,AB,7.7,8.2,66.4,319,9,124,K2,1825,16558,
20192,Struve 1,,1,00 08.9, 37 13,AND,,8.8,10.3,9.7,286,4,89,A5,1828,104,
20193,Struve 102,,1,01 17.8, 49 00,AND,AC,7.1,8.5,10,224,4,36/ 61,A0,1833,1040,
20194,Struve 102-AD,,1,01 17.8, 49 00,AND,AD,6.8,10.6,26.8,62,4,36/ 61,A0,1934,1040,
20195,Struve 102-CD,,1,01 17.8, 49 00,AND,CD,8.5,10.9,36.8,58,4,36/ 61,,1904,1040,
20196,Struve 104,,1,01 17.0, 38 27,AND,,8.1,10.1,13.5,323,4,61/ 91,G5,1830,1028,
20197,Struve 108,,1,01 18.8, 37 23,AND,,6.4,9.2,6.2,62,4,91,A3,1830,1055,One component is a sp-bin.
20198,Struve 112,,1,01 20.8, 46 20,AND,AB,8.8,9.2,20.2,334,4,61,G0,1968,1090,
20199,Struve 133,,1,01 32.8, 35 50,AND,AB,6.8,10.3,2.9,191,4,91,K0,1977,1211,
20200,Struve 133-AC,,1,01 32.8, 35 50,AND,AC,6.8,10.6,26.3,189,4,91,K0,1962,1211,
20201,Struve 133-AD,,1,01 32.8, 35 50,AND,AD,6.8,10.6,21.6,193,4,91,K0,1863,1211,
20202,Struve 141,,1,01 40.1, 38 58,AND,,8.2,8.7,1.6,303,4,61/ 91/ 92,F5,1977,1305,
20203,Struve 154,,1,01 45.0, 43 42,AND,,8.4,8.6,5.2,126,4,61,F0,1831,1374,
20204,Struve 157,,1,01 46.7, 38 56,AND,AC,9,9.5,12.4,115,4,61/ 92,F8,1832,1404,
20205,Struve 157-AD,,1,01 46.7, 38 56,AND,AD,8.7,10.2,53.9,282,4,61/ 92,F8,1905,1404,
20206,Struve 179,,1,01 53.2, 37 19,AND,,7.4,8.4,3.6,160,4,92,F5,1831,1500,
20207,Struve 181,,1,01 54.6, 38 11,AND,AB,9,10,26.8,125,4,61/ 92,K0,1902,,
20208,Struve 181-AP,,1,01 54.6, 38 11,AND,AP,8.6,12.1,25,279,4,61/ 92,K0,1907,,
20209,Struve 19,,1,00 16.7, 36 37,AND,,7.1,9.6,2.3,139,4,89/ 90,A0,1830,220,
20210,Struve 1-AND,,1,00 46.4, 30 56,AND,,7.4,7.6,76.8,48,4,90,G5,1972,639,STF 1; App I.  W/YR
20211,Struve 238,,1,02 17.2, 37 28,AND,AC,8.8,9.5,10.9,357,4,92/ 93,F8,1830,1747,
20212,Struve 24,,1,00 18.5, 26 08,AND,,7.6,8.4,5.2,248,4,125/ 126,A2,1831,252,Y/B.  FIXED
20213,Struve 245,,1,02 18.6, 40 16,AND,,7.5,8.5,11,293,4,62,F2,1830,1763,
20214,Struve 249,,1,02 21.6, 44 35,AND,,7.2,9.2,2.3,195,4,62,A2,1831,1795,
20215,Struve 250,,1,02 21.3, 37 25,AND,,8.6,9.1,3.1,136,4,92/ 93,A3,1832,1790,
20216,Struve 256,,1,02 23.7, 49 20,AND,AB,8.7,10,21,196,4,37/ 62,B8,1831,,
20217,Struve 256-AC,,1,02 23.7, 49 20,AND,AC,9,9.3,36.7,44,4,37/ 62,B8,1831,,
20218,Struve 259,,1,02 25.3, 48 03,AND,,8.8,10.8,13.5,18,4,62,F8,1904,,STF 259 rej.
20219,Struve 279,,1,02 35.7, 37 18,AND,AB,5.9,10.9,18.3,71,4,93,K0,1831,1964,
20220,Struve 279-AC,,1,02 35.7, 37 18,AND,AC,5.9,11.7,45.6,207,4,93,K0,1909,1964,
20221,Struve 28,,1,00 23.8, 29 30,AND,,8.8,9.2,33,223,4,89/ 90,G,1832,324,
20222,Struve 2973,,1,23 02.8, 44 03,AND,,6.4,9.6,7.4,41,9,88,B3,1831,16472,A var.
20223,Struve 2979,,1,23 07.8, 39 47,AND,,7.7,9.7,2.9,228,9,88/ 124,F2,1976,16527,
20224,Struve 2985,,1,23 09.9, 47 57,AND,,6.6,8.6,15.5,255,9,88,G5,1968,16557,
20225,Struve 2987,,1,23 10.2, 49 00,AND,,7.3,10.2,4.1,155,9,58/ 88,G0,1950,16562,
20226,Struve 2992,,1,23 13.0, 39 59,AND,AB,7.6,9.3,14.2,285,9,88/ 124,A3,1830,16599,
20227,Struve 3,,1,00 10.0, 46 23,AND,,8.1,9.1,5,82,4,59,A3,1822,119,
20228,Struve 3004,,1,23 20.7, 44 06,AND,,6.1,9.6,13.2,178,9,88,A3,1833,16685,
20229,Struve 3006,,1,23 21.2, 35 25,AND,AC,8.7,11.4,78.1,19,9,124,K5,1912,16693,
20230,Struve 3010,,1,23 23.4, 45 46,AND,AB,8.5,9.4,25.7,132,9,88,K0,1831,16720,
20231,Struve 3024,,1,23 32.0, 43 50,AND,,8.5,9.3,4.9,309,9,59/ 88,A0,1830,16818,
